"course_code","title","description","skills"
"CSC 101","Introduction to Computing","A comprehensive introduction to computing and programming. No prior programming experience is required. Explore the use of computing in everyday life and its impact on our society, and apply foundational ideas of computing to frame a problem and devise a solution using Java programming language.","[(Java, 20), (Programming Fundamentals, 18), (Problem Solving, 17), (Algorithms, 15), (Computational Thinking, 14), (Control Flow, 13), (Modular Design, 12), (Arrays, 11), (Debugging, 10), (Pseudocode, 9), (Number Systems, 8), (IDE Proficiency, 8), (Testing and Verification, 7), (Abstraction, 7), (Computing and Society, 6), (Technical Documentation, 6)]"
"CSC 110","Computational Thinking and Quantitative Reasoning","Basic building blocks of programming and computational thinking practices including analyzing the effects of computation, creating computational artifacts, using abstractions and models, analyzing problems and artifacts, communicating processes and results, and working effectively in teams. Mathematical models and information retrieval from real-world datasets will be used as vehicles to practice programming and computation thinking. (Note: For this course to satisfy General Education, students must earn a grade of C- or CR or higher.)","[(Python, 18), (Computational Thinking, 17), (Problem Decomposition, 15), (Mathematical Modeling, 14), (Data Analysis, 13), (Statistical Reasoning, 12), (Information Retrieval, 11), (Abstraction, 11), (Loops and Conditionals, 10), (Functions, 10), (Data Visualization, 9), (Collaboration, 9), (Advanced SQL, 8), (Scientific Computing, 8), (Communicating Results, 7), (Critical Analysis, 7), (Jupyter Notebooks, 6)]"
"CSC 215","Intermediate Computer Programming","Design, implementation, testing, debugging, maintenance, and documentation of Java programs. Algorithms, programming concepts, and data types in Java. Concepts of object-oriented programming. Numerical and non-numerical problems. Hands-on exercises in programming, and the use of basic software development tools. Syllabus terms: Fall 2024.","[(Java, 20), (Object-Oriented Programming, 19), (Inheritance and Polymorphism, 17), (Encapsulation, 15), (Generics, 14), (Exception Handling, 13), (Testing and Debugging, 13), (Recursion, 12), (Interfaces, 11), (File I/O, 10), (Software Documentation, 10), (Build Tools, 9), (Version Control, 9), (Numerical Algorithms, 8), (UML Basics, 7), (Code Review, 7), (Software Development Lifecycle, 6)]"
"CSC 220","Data Structures","Linear and non-linear data structures in Java, including lists, stacks, queues, trees, tables, and graphs. Recursion, iteration over collections, Big O notation, and hash tables. Syllabus terms: Fall 2022, Fall 2024, Spring 2025.","[(Data Structures, 20), (Java, 17), (Algorithm Analysis, 17), (Recursion, 15), (Hash Tables, 14), (Balanced Search Trees, 13), (Sorting Algorithms, 13), (Graph Traversal, 12), (Heaps and Priority Queues, 11), (Linked Lists, 10), (Abstract Data Types, 10), (Space Complexity, 9), (Iterator Pattern, 8), (Applied Data Structures, 8), (Unit Testing, 7), (Technical Communication, 6)]"
"CSC 221","Data Structure Lab","Training on the principles of object-oriented programming, data structures (such as stacks, queues, lists, trees, sets, HashMaps, etc.), implementation, and usage in solving real-life problems, recursion, and algorithm analysis. Activity. (CR/NC grading only)","[(Java, 18), (Object-Oriented Programming, 17), (Data Structure Implementation, 16), (Stacks and Queues, 14), (Trees and Graphs, 13), (HashMap Implementation, 12), (Recursion, 11), (Algorithm Verification, 11), (Debugging, 10), (Lab Documentation, 9), (Big-O Analysis, 9), (Pair Programming, 7), (Code Review, 7)]"
"CSC 230","Discrete Mathematical Structures for Computer Science","Review of set algebra, relations and functions, permutations, propositional logic, proof techniques, introduction to graph theory, and infinite sets, and their applications to computer science. Syllabus terms: Fall 2021.","[(Discrete Mathematics, 20), (Formal Logic, 18), (Mathematical Proof Techniques, 17), (Set Theory, 15), (Relations and Functions, 14), (Graph Theory, 13), (Combinatorics, 12), (Boolean Algebra, 10), (Number Theory, 9), (Recurrence Relations, 9), (Formal Language Theory, 8), (Tree Structures, 8), (Mathematical Reasoning, 8), (Mathematical Writing, 7), (Computability Theory, 6)]"
"CSC 256","Machine Structures","Digital logic circuits, data representation, assembly language programming, subroutine linkage, machine language encoding, interrupt and exception handling, memory system concepts, and CPU organization and performance.","[(Assembly Language, 20), (Computer Architecture, 18), (Digital Logic Design, 16), (Data Representation, 15), (CPU Datapath, 14), (Memory Systems, 13), (Interrupt Handling, 12), (Subroutine Linkage, 12), (CPU Pipelining, 11), (C Programming, 10), (Bitwise Operations, 10), (I/O Systems, 9), (Hardware-Software Interface, 9), (Machine Code, 8), (Performance Metrics, 7), (Assembly Debugging, 7)]"
"CSC 300GW","Ethics, Communication, and Tools for Software Development - GWAR","Privacy, security, legal, and ethical issues in Software development. Communication relevant to SW development (e.g., reports, contracts, requirements, documentation, collaboration, e-mail, presentations). Study and use of basic tools for SW development and collaboration. (ABC/NC grading only)","[(Technical Writing, 19), (Professional Ethics, 18), (Privacy Law, 16), (Software Licensing, 14), (Security Principles, 13), (Regulatory Compliance, 12), (Git and GitHub, 11), (Technical Presentations, 11), (Requirements Analysis, 10), (Code Review, 10), (Accessibility, 9), (Professional Communication, 9), (Software Contracts, 8), (Agile Tools, 8), (Ethical Analysis, 8), (ACM Code of Ethics, 7), (Diversity in Tech, 6)]"
"CSC 306","An Interdisciplinary Approach to Computer Programming","Basics of programming for interdisciplinary problem-solving, using Python.Topics include basic building blocks of programming (variables, control statements, loops, function, abstraction, and more) and problem-solving approaches relevant to problems in the natural sciences.","[(Python, 19), (Procedural Programming, 16), (Scientific Computing, 15), (NumPy and SciPy, 13), (Data Analysis, 13), (Problem Solving, 12), (Control Flow, 12), (File I/O, 10), (Data Visualization, 10), (Jupyter Notebooks, 9), (Debugging, 9), (Mathematical Modeling, 8), (Abstraction, 8), (Interdisciplinary Collaboration, 7), (Technical Documentation, 6)]"
"CSC 307","An Interdisciplinary Approach to Web Programming","Basics of WWW engineering relevant to studies in interdisciplinary problem-solving. Topics include the basics of developing web and database applications, HTML, PHP, Python, SQL, and MySQL database.","[(HTML and CSS, 17), (PHP, 15), (Python, 14), (SQL and MySQL, 14), (Web Development, 13), (Database Design, 12), (Client-Server Architecture, 12), (Form Validation, 11), (Web Security, 10), (Web Debugging, 9), (Database Querying, 9), (Scientific Communication, 8), (Interdisciplinary Collaboration, 7), (Version Control, 7)]"
